x02-medium-parallel.csv,x03-medium-parallel.csv,x04-full-parallel.csv,x05-full-parallel.csv,x06-full-parallel.csv,x07-low-parallel.csv,x08-low-parallel.csv,x09-low-parallel.csv,x10-medium-parallel.csv,x11-medium-parallel.csv,x12-medium-parallel.csv,x13-timer1-parallel.csv,x14-timer1-parallel.csv,x15-timer1-parallel.csv,x16-timer2-parallel.csv,x17-timer2-parallel.csv,x18-timer2-parallel.csv,x19-low+full-parallel.csv,x20-low+full-parallel.csv,x21-low+full-parallel.csv,x22-medium+timer-parallel.csv,x23-medium+timer-parallel.csv,x24-medium+timer-error-parallel.csv,x25-full+low+medium+timer-parallel.csv,x26-full-error-parallel.csv,x27-medium-error-parallel.csv,x28-full-parallel.csv,x29-medium-parallel.csv,x30-timer1-parallel.csv,x31-low-parallel.csv,y01-high-parallel.csv,y02-high-parallel.csv,y03-high-parallel.csv,y04-high-parallel.csv
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,255,255,255,170,255,255,255,170,170,170,170
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,255,255,255,170,255,255,255,173,173,170,170
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,255,255,255,170,255,255,255,51,51,170,170
173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,255,255,255,173,255,255,255,83,83,173,173
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,255,255,255,51,255,255,255,45,45,51,51
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,255,255,255,83,255,255,255,75,75,83,83
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,255,255,255,45,234,234,255,82,82,45,45
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,255,255,255,75,170,170,170,179,179,75,75
82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,255,255,255,82,170,170,170,84,84,82,82
179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,178,178,178,178,178,179,255,255,255,179,171,171,170,213,213,179,179
84,84,84,84,84,84,84,84,84,84,84,83,83,83,83,83,83,170,170,170,170,170,84,255,255,255,84,76,76,173,85,85,84,84
213,213,213,213,213,213,213,213,213,213,213,83,83,83,83,83,83,171,171,171,171,171,213,255,255,255,213,212,212,51,50,50,213,213
85,85,85,85,85,85,85,85,85,85,85,84,84,84,84,84,84,85,85,85,85,85,85,255,255,255,85,203,203,83,210,210,85,85
74,74,50,50,50,83,83,83,74,74,74,204,204,204,204,204,204,84,84,84,84,84,74,255,255,255,50,82,82,45,212,212,50,50
204,204,210,210,210,74,74,74,204,204,204,211,211,211,211,211,211,211,211,211,211,211,204,255,255,255,210,212,212,75,170,170,210,210
212,212,212,212,212,180,180,180,212,212,212,84,84,84,84,84,84,84,84,84,84,84,212,255,255,255,212,172,172,82,171,171,212,212
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,255,255,255,170,214,212,179,85,85,170,170
171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,255,255,255,171,154,212,84,77,77,171,171
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,77,77,77,77,77,255,255,255,85,170,213,213,195,195,85,85
85,75,75,53,53,53,77,77,77,75,75,75,85,85,85,85,85,85,77,77,77,77,77,255,255,255,75,169,51,85,255,255,75,77
